word,lexical_class,aoa,n_chars,word_count,mlu,frequency,log_frequency,concreteness
now,other,26.0087467139324,3,26543.0,7.387446784462947,0.0035342351316260583,-5.6452583731649195,1.48
off,function_words,22.7662274096822,3,10508.0,8.18947468595356,0.0013991539299674724,-6.5718875607828915,2.79
on,function_words,26.1025315439928,2,62752.0,8.423763386027536,0.008355510793045187,-4.784833982592249,3.25
open,predicates,22.3801744990941,4,4307.0,6.3438588344555376,0.0005734826776141895,-7.463782826534211,3.21
orange,nouns,23.2555954031328,6,2222.0,5.9995499549955,0.0002958622033105942,-8.125616741388747,4.66
orange,predicates,24.6269953705708,6,2222.0,5.9995499549955,0.0002958622033105942,-8.125616741388747,4.66
out,function_words,23.4947972185813,3,20675.0,9.13136638452237,0.0027529032643773786,-5.8950991916964295,2.73
outside,other,20.871326688853,7,2451.0,7.4520603835169315,0.00032635385252667256,-8.027528328060209,4.25
over,function_words,27.9425977233925,4,14556.0,8.129362462214894,0.001938150419166971,-6.2460211528562715,2.46
paint,predicates,26.5526413636172,5,734.0,7.768392370572207,9.77330590593952e-05,-9.233270682973806,4.79
paper,nouns,23.4515038135816,5,2366.0,8.00887573964497,0.00031503599146393604,-8.06282366704999,4.93
park,other,23.2304687871865,4,823.0,9.0,0.00010958352534861342,-9.118823510911252,4.74
party,other,26.5024685455726,5,1249.0,8.882305844675741,0.00016630598196891636,-8.701681201462744,3.89
people,other,27.6887166527668,6,4701.0,9.641352903637523,0.0006259442924226388,-7.376249180564191,4.82
pick,predicates,28.2527941086461,4,3078.0,9.110136452241717,0.0004098397217776818,-7.799744397189497,3.82
picture,nouns,24.6053850361694,7,3250.0,8.751692307692307,0.0004327417465163957,-7.745369436264538,4.52
plant,nouns,27.2863675756337,5,323.0,9.68421052631579,4.300787203839871e-05,-10.054127388365664,4.76
plate,nouns,24.5463828769463,5,1778.0,7.18503937007874,0.00023674302317112353,-8.348535295514472,4.77
play,nouns,30.2922650984273,4,16168.0,8.69470559129144,0.002152790325439103,-6.140990452504865,3.24
play,predicates,23.0821738461381,4,16168.0,8.69470559129144,0.002152790325439103,-6.140990452504865,3.24
please,other,19.1732890175093,6,5001.0,5.6502699460107975,0.0006658896844087676,-7.3143865401694175,1.64
police,other,28.653053425741,6,348.0,7.830459770114943,4.6336654703909445e-05,-9.979577231813847,4.79
present,nouns,26.0095679621945,7,618.0,8.055016181229773,8.228750749142538e-05,-9.405291254130631,3.39
pretty,predicates,25.9977058304007,6,6065.0,6.265787304204451,0.0008075626746529045,-7.121489890210171,2.4
pull,predicates,26.6880459610023,4,2386.0,7.001676445934619,0.00031769901759634464,-8.05440610893046,3.97
push,predicates,24.990406341102,4,2891.0,6.068834313386372,0.0003849404274396615,-7.862421969571976,4.21
put,predicates,27.1321074201459,3,32762.0,8.501739820523778,0.004362303107498509,-5.434755125423745,2.5
puzzle,nouns,24.7949944968773,6,1003.0,7.766699900299103,0.00013355076054029073,-8.921028923626386,4.75
quiet,predicates,27.0552788814046,5,824.0,6.453883495145631,0.00010971667665523386,-9.11760918167885,2.76
radio,nouns,29.0282414587294,5,240.0,7.691666666666666,3.1956313588903065e-05,-10.35114078824633,4.74
rain,nouns,22.7094555582625,4,617.0,8.153970826580228,8.215435618480496e-05,-9.406910687682934,4.97
read,predicates,23.4866145097701,4,6545.0,8.265699006875478,0.0008714753018307106,-7.045323033244322,3.56
red,predicates,24.2293109045759,3,4271.0,7.046827440880356,0.0005686892305758541,-7.472176440746855,4.24
ride,predicates,25.2831697653469,4,1790.0,8.819553072625698,0.00023834083885056868,-8.341808812753522,3.75
rock,nouns,23.067883346697,4,742.0,7.297843665768194,9.879826951235864e-05,-9.22243046842094,4.91
room,nouns,25.2609260562151,4,3328.0,9.954326923076923,0.0004431275484327892,-7.721652909647222,4.79
run,predicates,24.079097693753,3,1431.0,9.542278127183788,0.00019053951977383453,-8.56565093203187,4.31
sad,predicates,26.425482986888,3,717.0,7.052998605299861,9.54694868468479e-05,-9.256703870988702,3.07
say,predicates,27.4232880487055,3,18891.0,6.403049070986184,0.0025153613333665325,-5.985338814431469,2.58
school,other,24.3720122379927,6,4631.0,9.145109047721874,0.0006166237009592087,-7.39125160510757,4.79
see,predicates,23.6765498845696,3,43905.0,6.408814485821661,0.005846008117169954,-5.141996223794226,3.21
share,predicates,26.6906381517509,5,651.0,7.337941628264208,8.668150060989955e-05,-9.353270069379752,2.96
sheep,nouns,23.9520755403527,5,1164.0,5.4853951890034365,0.00015498812090617987,-8.772162083296939,4.9
shopping,other,26.6652426919455,8,346.0,8.898843930635838,4.607035209066858e-05,-9.985340936530598,3.44
show,predicates,27.621207345252,4,4498.0,7.816585148955091,0.0005989145771786915,-7.420391579069061,3.97
sick,predicates,27.0374845313837,4,858.0,7.226107226107226,0.00011424382108032845,-9.07717561210036,2.97
sing,predicates,24.9979273629783,4,1563.0,6.575175943698016,0.0002081154922477312,-8.477417381166845,4.34
sister,other,27.5891957387409,6,1177.0,8.672047578589634,0.00015671908789224544,-8.761055604328044,4.0
sit,predicates,22.5598590330254,3,7668.0,7.095200834637454,0.001021004219165453,-6.886968607422786,4.8
sky,nouns,24.7590943713258,3,487.0,8.44558521560575,6.484468632414913e-05,-9.643515588505732,4.45
sleep,predicates,23.30673068688,5,2194.0,8.701914311759344,0.00029213396672522215,-8.138298070753146,4.44
slow,predicates,28.6244247597326,4,475.0,5.585263157894737,6.324687064470398e-05,-9.66846490755368,3.28
smile,predicates,26.996475797335,5,277.0,6.974729241877256,3.688291193385895e-05,-10.207762205400984,4.5
snow,nouns,25.3247541411104,4,885.0,8.30734463276836,0.00011783890635908005,-9.046192066580392,4.85
so,function_words,32.0440266532861,2,31492.0,10.070494093738091,0.004193200948090564,-5.4742908872839635,1.42
so,other,26.8051176616679,2,31492.0,10.070494093738091,0.004193200948090564,-5.4742908872839635,1.42
soft,predicates,26.7682453600303,4,1053.0,6.0,0.0001402083258713122,-8.872381199454345,3.88
some,function_words,27.1374676419819,4,23350.0,8.006295503211991,0.0031090830095870273,-5.773427448491279,2.48
stairs,nouns,25.0279100023729,6,564.0,9.101063829787234,7.50973369339222e-05,-9.496725460090262,5.0
stand,predicates,26.6627051111373,5,1844.0,7.149132321041215,0.0002455310094080719,-8.312087307471783,4.16
star,nouns,22.8993986794694,4,494.0,6.700404858299595,6.577674547049214e-05,-9.6292441944004,4.69
stay,predicates,26.7934657122836,4,2685.0,8.130726256983241,0.00035751125827585304,-7.936343704645356,2.15
stick,nouns,25.2162520056547,5,1428.0,7.560224089635854,0.00019014006585397323,-8.567749568688791,4.59
